prospect,segment,location,fit_signal,proposed_pilot,contact_route,public_contact,social,source_url,evidence_status,priority,status,next_action
Lake Telemark Forest School Coop,forest homeschool co-op,"Rockaway, NJ",Regular shared woodland exploration and a weekly meetup make a nature-season story plausible,"A short story about what the group discovered across one season; children can be represented by first name or omitted",email,laketelemarkforestschoolcoop@gmail.com,Facebook,https://forestschoolcoop.wordpress.com/,Observed,1,Research,Ask whether they preserve seasonal projects or send anything home
Firefly Forest School,forest school and homeschool enrichment,"Randolph, NJ",Runs a flex co-op for ages 4-10 with gardening cooking chickens woods and storytelling,"A 12-page 'our year in the woods' story or unit companion with optional child opt-in",email,Fireflyforestschoolnj@gmail.com,,https://www.fireflyforestschoolnj.com/,Observed,1,Research,Ask for the program lead and whether a year-end artifact exists
Fox and Fionns Forest,forest-school homeschool co-op,New Jersey,"Small-community model explicitly centers children being known and supported; seasonal 2026 programming is active","A place-based forest story built from one autumn project; no child likeness required",contact_form,,,https://foxandfionnsforest.com/join-us,Observed,1,Research,Use contact form and ask who owns program partnerships
Trails for Kids,nature-based homeschool immersion,"Essex and Union counties, NJ",Interest-led themed classes and nature/science learning with a nonprofit mission,"A child-facing field guide story connecting one class theme to the group's observations",phone,908-484-4856,,https://trailsforkidsus.org/,Observed,2,Research,Call only after sending a short email if an address is confirmed manually
Lighthouse Christian Academy,microschool and Christian homeschool program,"New Jersey",Small faith-based classroom for homeschool families with core and enrichment subjects,"A family-approved story tied to a class project or faith-and-character theme",email,info@lca-nj.org,,https://lcaschoolnj.com/micro-school/,Observed,1,Research,Ask for micro-school director and approval/budget process
Little Way Homeschool Co-op,Catholic homeschool co-op,"Butler, NJ",Friday co-op with age-banded groups from preschool through high school and a public contact email,"A Catholic family/community story around one service or liturgical-season project",email,littlewayhsc@gmail.com,@littlewaycoop,https://www.littlewaycoop.org/contact,Observed,1,Research,Ask whether a class or group keeps a year-end project artifact
NJ Homeschoolers Co-op,homeschool co-op,"New Jersey",Established co-op with parent-made lessons but explicit no-business-solicitation policy,"Research/interview only; do not pitch or solicit the co-op",email,co-op@njhomeschoolers.org,,https://njhomeschoolers.org/faqs,Observed,4,Research-only,Do not solicit; use only for understanding co-op governance
HIS Home Educators,Christian homeschool co-op,"Haddon Heights, NJ",Volunteer Christian co-op with two 10-week semesters and parent-led enrichment classes,"A parent-approved story about a shared semester theme or service project",email,hishomeschoolcoop@gmail.com,,https://www.homeschool-life.com/NJ/hishomeschoolcoop/,Observed,1,Research,Ask leadership whether an outside creative pilot is permitted
Walnut Grove Coop,secular inclusive homeschool co-op,"Newark, DE; serves NJ/MD/PA",Nature programs service projects self-education mixed ages and parent participation,"A secular community story about a service or nature project; group-owned digital copy",contact_form,,,https://walnutgrovecoop.com/WalnutGroveHomeSchool/about-us/,Observed,1,Research,Use site contact and ask for program coordinator
South Branch Cooperative,secular year-round homeschool co-op,"New Jersey",Common-theme curriculum days clubs nature outings service projects and members-only resources,"A semester story or printable reader connecting a common theme to the children’s actual work",contact_form,,,https://www.southbranchcooperative.com/what-we-do,Observed,1,Research,Ask who approves member-facing creative projects and which budget applies
Jacob's Ladder Rescue,neuro-affirming nature and homeschool program,"Mullica Hill, NJ",Nonprofit nature classroom focused on discovery collaboration creating and building,"A nature-class story about a shared build or seasonal discovery; avoid child-identifying details",contact_form,,,https://www.jacobsladderrescue.org/,Observed,2,Research,Use Contact Us; site email rendered malformed and needs manual verification
HomeSchoolie,homeschool/co-op directory and community channel,US,Lists 3200+ communities and offers a discovery platform rather than one pilot site,"Channel partnership or introduction request, not a product pilot",contact_form,,,https://homeschoolie.com/,Observed,3,Research,Ask whether they feature tools for co-op leaders and project documentation
microschool.directory,microschool and co-op directory,US,Filters by project-based nature faith-based and homeschool models and invites founder listings,"Channel partnership or directory-introduction request, not a product pilot",contact_form,,,https://microschool.directory/,Observed,3,Research,Ask for a founder newsletter or pilot-call placement
Homeschool Compass,co-op discovery directory,US,Provides a searchable directory of local in-person online and hybrid co-ops,"Channel partnership or directory-introduction request, not a product pilot",contact_form,,,https://homeschoolcompass.org/tools/co-op-finder,Observed,3,Research,Ask whether a research call can reach project-based co-op leaders
